Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
Alan B. Shepard Jr.,1959,1,Deceased,1923-11-18,"East Derry, NH",Male,US Naval Academy,Naval Sciences,Naval Science,Rear Admiral,US Navy (Retired),2,216,2,9.0,"Mercury 3, Apollo 14",1998-07-21,Natural causes
Alan G. Poindexter,1998,17,Deceased,1961-11-05,"Pasadena, CA",Male,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0.0,"STS-122 (Atlantis), STS-131 (Discovery)",2012-07-01,Personal watercraft accident
Alan L. Bean,1963,3,Deceased,1932-03-15,"Wheeler, TX",Male,University of Texas,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,1671,3,10.0,"Apollo 12, Skylab 3",2018-05-26,Natural causes
Albert Sacco Jr.,1963,3,Retired,1949-05-03,"Boston, MA",Male,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,Captain,US Navy (Retired),1,381,0,0.0,STS-73 (Columbia),,
Alfred M. Worden,1966,5,Retired,1932-02-07,"Jackson, MI",Male,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,,
Alvin B. Drew Jr.,2000,18,Active,1962-11-05,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,Colonel,US Air Force,2,613,2,13.0,"STS-118 (Endeavor), STS-133 (Discovery)",,
Andrew J. Feustel,2000,18,Active,1965-08-25,"Lancaster, PA",Male,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,Colonel,US Air Force,2,687,6,42.0,"STS-125 (Atlantis), STS-134 (Endeavor)",,
Andrew M. Allen,1987,12,Retired,1955-08-04,"Philadelphia, PA",Male,Villanova University; University of Florida,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0.0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,
Andrew S. W. Thomas,1992,14,Management,1951-12-18,"Adelaide, Australia",Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,Lieutenant Colonel,US Marine Corps (Retired),4,4257,1,6.0,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,
Anna L. Fisher,1978,8,Management,1949-08-24,"New York, NY",Female,University of California-Los Angeles,Chemistry,Chemistry; Medicine,Lieutenant Colonel,US Marine Corps (Retired),1,191,0,0.0,STS 51-A (Discovery),,
Anthony W. England,1967,6,Retired,1942-05-15,"Indianapolis, IN",Male,MIT,Geology,Geology; Geophysics,Lieutenant Colonel,US Marine Corps (Retired),1,190,0,0.0,STS 51-F (Challenger),,
Barbara R. Morgan,1998,17,Retired,1951-11-28,"Fresno, CA",Female,Stanford University,Human Biology,Geology; Geophysics,Lieutenant Colonel,US Marine Corps (Retired),1,305,0,0.0,STS-118 (Endeavor),,
Barry E. Wilmore,2000,18,Active,1962-12-29,"Murfreesboro, TN",Male,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25.0,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
Bernard A. Harris Jr.,1990,13,Retired,1956-06-26,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,Captain,US Navy,2,438,1,5.0,"STS-55 (Columbia), STS-63 (Discovery)",,
Bill Nelson,1990,13,Retired,1942-09-29,"Miami, FL",Male,Yale University; University of Virginia,Biology,Law,Captain,US Army (Retired),1,146,0,0.0,STS 61-C (Columbia),,
Bonnie J. Dunbar,1980,9,Retired,1949-03-03,"Sunnyside, WA",Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,Captain,US Army (Retired),5,1207,0,0.0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
Brent W. Jett,1992,14,Retired,1958-10-05,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0.0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
Brewster H. Shaw Jr.,1978,8,Retired,1945-05-16,"Cass City, MI",Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,Colonel,US Air Force (Retired),3,533,0,0.0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
Brian Duffy,1985,11,Retired,1953-06-20,"Boston, MA",Male,US Air Force Academy; University of Southern California,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0.0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
Brian T. O'Leary,1967,6,Deceased,1940-01-27,"Boston, MA",Male,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,Colonel,US Air Force (Retired),0,0,0,0.0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",2011-07-28,Due to cancer
Bruce E. Melnick,1987,12,Retired,1949-12-05,"New York, NY",Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Commander,US Coast Guard (Retired),2,311,0,0.0,"STS-41 (Discovery), STS-49 (Endeavor)",,
Bruce McCandless II,1966,5,Retired,1937-06-08,"Boston, MA",Male,US Naval Academy; Stanford University; University of Houston-Clear Lake,Engineering,Electrical Engineering; Business Administration,Captain,US Navy (Retired),2,312,2,12.0,"STS 41-B (Challenger), STS-31 (Discovery)",,
Bryan D. O'Connor,1980,9,Retired,1946-09-06,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Colonel,US Marine Corps (Retired),2,383,0,0.0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
Buzz Aldrin,1963,3,Retired,1930-01-20,"Montclair, NJ",Male,US Military Academy; MIT,Mechanical Engineering,Astronautics,Colonel,US Air Force (Retired),2,289,2,8.0,"Gemini 12, Apollo 11",,
Byron K. Lichtenberg,1963,3,Retired,1948-02-19,"Stroudsburg, PA",Male,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,Colonel,US Air Force (Retired),2,461,0,0.0,"STS-9 (Columbia), STS-45 (Atlantis)",,
C. Gordon Fullerton,1969,7,Retired,1936-10-11,"Rochester, NY",Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0.0,"STS-3 (Columbia), STS 51-F (Challenger)",,
C. Michael Foale,1987,12,Active,1957-01-06,"Louth, England",Male,Cambridge University,Physics,Laboratory Astrophysics,Colonel,US Air Force (Retired),6,8970,4,22.0,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",,
Carl E. Walz,1990,13,Retired,1955-09-06,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19.0,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
Carl J. Meade,1985,11,Retired,1950-11-16,"Chanute Air Force Base, IL",Male,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,Colonel,US Air Force (Retired),3,712,1,6.0,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,
Carlos I. Noriega,1995,15,Retired,1959-10-08,"Lima, Peru",Male,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,Lieutenant Colonel,US Marine Corps (Retired),2,481,3,19.0,"STS-84 (Atlantis), STS-97 (Endeavor)",,
Catherine G. Coleman,1992,14,Active,1960-12-14,"Charleston, SC",Female,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,Colonel,US Air Force (Retired),3,4324,0,0.0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Charles A. Bassett II,1963,3,Deceased,1931-12-30,"Dayton, OH",Male,Texas Technological College,Electrical Engineering,Polymer Science & Engineering,Captain,US Air Force,0,0,0,0.0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",1966-02-28,T-38 Talon jet aircraft
Charles Conrad Jr.,1962,2,Deceased,1930-05-02,"Philadelphia, PA",Male,Princeton University,Aeronautical Engineering,Polymer Science & Engineering,Captain,US Navy (Retired),4,1179,4,12.0,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",1999-07-08,Motorcycle accident
Charles D. Gemar,1985,11,Retired,1955-08-04,"Yanktown, SD",Male,US Military Academy,Engineering,Polymer Science & Engineering,Lieutenant Colonel,US Army,3,581,0,0.0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
Charles D. Walker,1985,11,Retired,1948-08-29,"Bedford, IN",Male,Purdue University,Aeronautical & Astronautical Engineering,Polymer Science & Engineering,Lieutenant Colonel,US Army,3,477,0,0.0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,
Charles E. Brady Jr.,1992,14,Deceased,1951-08-12,"Pinehurst, NC",Male,University of North Carolina at Chapel Hill; Duke University,Aeronautical & Astronautical Engineering,Medicine,Captain,US Navy,1,405,0,0.0,STS-78 (Columbia),2006-07-23,Natural causes
Charles F. Bolden Jr.,1980,9,Management,1946-08-19,"Columbia, SC",Male,US Naval Academy; University of Southern California,Electrical Science,Systems Management,Major General,US Marine Corps (Retired),4,680,0,0.0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",,
Charles J. Camarda,1996,16,Management,1952-05-08,"Queens, NY",Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,Major General,US Marine Corps (Retired),1,333,0,0.0,STS-114 (Discovery),,
Charles J. Precourt,1990,13,Retired,1955-06-29,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0.0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
Charles Lacy Veach,1984,10,Deceased,1944-09-18,"Chicago, IL",Male,US Air Force Academy,Engineering Management,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),2,436,0,0.0,"STS-39 (Discovery), STS-52 (Columbia)",2012-07-01,Due to cancer
Charles M. Duke Jr.,1966,5,Retired,1935-10-03,"Charlotte, NC",Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,Brigadier General,US Air Force (Retired),1,265,3,20.0,Apollo 16,,
Charles O. Hobaugh,1996,16,Retired,1961-11-05,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,Aeronautics,Colonel,US Marine Corps (Retired),3,873,0,0.0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
Christopher J. Cassidy,2004,19,Active,1970-01-04,"Salem, MA",Male,US Naval Academy; MIT,Mathematics,Ocean Engineering,Commander,US Navy,1,4376,6,31.0,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
Christopher J. Ferguson,1998,17,Retired,1961-09-01,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,970,0,0.0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Christopher J. Loria,1996,16,Retired,1960-07-09,"Belmont, MA",Male,US Naval Academy; Harvard University,Engineering,Public Administration,Colonel,US Marine Corps (Retired),0,0,0,0.0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Clayton C. Anderson,1998,17,Retired,1959-02-23,"Omaha, NE",Male,Hastings College; Iowa State University,Physics,Aerospace Engineering,Colonel,US Marine Corps (Retired),2,4005,6,38.0,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
Clifton C. Williams Jr.,1963,3,Deceased,1932-09-26,"Mobile, AL",Male,Auburn University,Mechanical Engineering,Aerospace Engineering,Major,US Marine Corps,0,0,0,0.0,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",1967-10-05,T-38 jet trainer crash
Curtis L. Brown Jr.,1987,12,Retired,1956-03-11,"Elizabethtown, NC",Male,US Air Force Academy,Electrical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),6,1383,0,0.0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,
Dale A. Gardner,1978,8,Retired,1948-11-08,"Fairmont, MN",Male,University of Illinois,Engineering Physics,Aerospace Engineering,Captain,US Navy (Retired),2,336,2,12.0,"STS-8 (Challenger), STS 51-A (Discovery)",,
Daniel C. Brandenstein,1978,8,Retired,1943-01-17,"Watertown, WI",Male,University of Wisconsin,Mathematics & Physics,Aerospace Engineering,Captain,US Navy (Retired),4,789,0,0.0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
Daniel C. Burbank,1996,16,Active,1961-07-27,"Machester, CT",Male,US Coast Guard Academy; Embry-Riddle Aeronautical University,Electrical Engineering,Aeronautical Science,Captain,US Coast Guard (Retired),3,4512,1,7.0,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
Daniel M. Tani,1996,16,Retired,1961-02-01,"Ridley Park, PA",Male,MIT,Mechanical Engineering,Mechanical Engineering,Captain,US Coast Guard (Retired),2,3162,6,39.0,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
Daniel T. Barry,1992,14,Retired,1953-12-30,"Norwalk, CT",Male,Cornell University; Princeton University; University of Miami,Electrical Engineering,Electrical Engineering; Computer Science; Medicine,Captain,US Coast Guard (Retired),3,733,4,26.0,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,
Daniel W. Bursch,1990,13,Retired,1957-07-25,"Bristol, PA",Male,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,Captain,US Navy (Retired),4,5446,2,12.0,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",,
David A. Wolf,1990,13,Retired,1956-08-23,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,Captain,US Navy (Retired),3,4044,7,41.0,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
David C. Hilmers,1980,9,Retired,1950-01-28,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0.0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
David C. Leestma,1980,9,Management,1949-05-06,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,532,1,3.0,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,
David M. Brown,1996,16,Deceased,1956-04-16,"Arlington, VA",Male,College of William & Mary; Eastern Virginia Medical School,Biology,Medicine,Captain,US Navy,1,382,0,0.0,STS-107 (Columbia),2003-02-01,STS-107 (Columbia)
David M. Walker,1978,8,Deceased,1944-05-20,"Columbus, GA",Male,US Naval Academy,Naval Sciences,Medicine,Captain,US Navy (Retired),4,724,0,0.0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",2001-04-23,Plane crash
David R. Scott,1963,3,Retired,1932-06-06,"San Antonio, TX",Male,US Military Academy; MIT,Naval Sciences,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19.0,"Gemini 8, Apollo 9, Apollo 15",,
Dominic A. Antonelli,2000,18,Active,1967-08-23,"Detroit, MI",Male,MIT; University of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,Commander,US Navy,2,579,0,0.0,"STS-119 (Discovery), STS-132 (Atlantis)",,
Dominic L. Gorie,1995,15,Retired,1957-05-02,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
Don L. Lind,1966,5,Retired,1930-05-18,"Midvale, UT",Male,University of Utah; University of California-Berkley,Physics,Nuclear Physics,Captain,US Navy (Retired),1,168,0,0.0,STS 51-B (Challenger),,
Donald A. Thomas,1990,13,Retired,1955-05-06,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,Physics,Materials Science,Captain,US Navy (Retired),4,1040,0,0.0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,
Donald E. Williams,1978,8,Retired,1958-02-13,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,Materials Science,Captain,US Navy (Retired),2,287,0,0.0,"STS 51-D (Discovery), STS-34 (Atlantis)",,
Donald H. Peterson,1969,7,Retired,1933-10-22,"Winona, MS",Male,US Military Academy; US Air Force Institute of Technology,Mechanical Engineering,Nuclear Engineering,Colonel,US Air Force (Retired),1,120,1,4.0,STS-6 (Challenger),,
Donald K. Slayton,1959,1,Deceased,1924-03-01,"Sparta, WI",Male,University of Minnesota,Aeronautical Engineering,Nuclear Engineering,Major,US Air Force Reserves,1,217,0,0.0,Apollo-Soyuz Test Project,1993-06-13,Natural causes
Donald L. Holmquest,1967,6,Retired,1939-04-07,"Dallas, TX",Male,Southern Methodist University; Baylor University; University of Houston,Electrical Engineering,Physiology; Medicine; Law,Major,US Air Force Reserves,0,0,0,0.0,Apollo-Soyuz Test Project,,
Donald R. McMonagle,1987,12,Retired,1952-05-14,"Flint, MI",Male,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),3,605,0,0.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
Donald R. Pettit,1996,16,Active,1955-04-20,"Silverton, OR",Male,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,Colonel,US Air Force (Retired),3,8872,2,13.0,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,
Donn F. Eisele,1963,3,Deceased,1930-05-23,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0.0,Apollo 7,1987-12-02,Natural causes
Dorothy M. Metcalf-Lindenberger,2004,19,Active,1975-05-02,"Colorado Springs, CO",Female,Whitman College,Geology,Astronautics,Colonel,US Air Force (Retired),1,362,0,0.0,STS-131 (Discovery),,
Douglas G. Hurley,2000,18,Active,1966-10-21,"Endicott, NY",Male,Tulane University,Civil Engineering,Astronautics,Colonel,US Marine Corps,2,683,0,0.0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Douglas H. Wheelock,1998,17,Active,1960-05-05,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43.0,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
Duane E. Graveline,1965,4,Retired,1931-03-02,"Newport, VT",Male,University of Vermont; Johns Hopkins University,Applied Science & Engineering,Public Health; Medicine,Colonel,US Army,0,0,0,0.0,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
Duane G. Carey,1996,16,Retired,1957-04-30,"St. Paul, MN",Male,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),1,262,0,0.0,STS-109 (Columbia),,
E. Michael Fincke,1996,16,Active,1967-03-14,"Pittsburgh, PA",Male,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48.0,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
Edgar D. Mitchell,1966,5,Retired,1930-09-17,"Hereford, TX",Male,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Navy (Retired),1,216,2,9.0,Apollo 14,,
Edward G. Gibson,1965,4,Retired,1936-11-08,"Buffalo, NY",Male,University of Rochester; California Institute of Technology,Engineering,Engineering,Captain,US Navy (Retired),1,2017,3,15.0,Skylab 4,,
Edward G. Givens Jr.,1966,5,Deceased,1930-01-05,"Quanah, TX",Male,US Naval Academy,Naval Sciences,Engineering,Major,US Air Force,0,0,0,0.0,Skylab 4,1967-06-06,Automobile accident 
Edward H. White II,1962,2,Deceased,1930-11-14,"San Antonio, TX",Male,US Military Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",1967-01-27,Apollo 1
Edward T. Lu,1995,15,Retired,1963-07-01,"Springfield, MA",Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,Lieutenant Colonel,US Air Force,3,4962,1,6.0,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,
Eileen M. Collins,1990,13,Retired,1959-11-19,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0.0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
Ellen Ochoa,1990,13,Management,1958-05-10,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,Colonel,US Air Force (Retired),4,979,0,0.0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,
Ellen S. Baker,1984,10,Retired,1953-04-27,"Fayettesville, NC",Female,State University of New York-Buffalo; Cornell University; University of Texas,Geology,Medicine; Public Health,Colonel,US Air Force (Retired),3,686,0,0.0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",,
Elliot M. See Jr.,1962,2,Deceased,1927-07-23,"Dallas, TX",Male,US Merchant Marine Academy; University of California-Los Angeles,Geology,Engineering,Colonel,US Air Force (Retired),0,0,0,0.0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",1966-02-28,T-38 jet aircraft
Ellison S. Onizuka,1978,8,Deceased,1946-06-24,"Kealakekua, HI",Male,University of Colorado,Aerospace Engineering,Aerospace Engineering,Lieutenant Colonel,US Air Force,2,73,0,0.0,"STS 51-C (Discovery), STS 51-L (Challenger)",1986-01-28,STS 51-L (Challenger)
Eric A. Boe,2000,18,Active,1964-10-01,"Miami, FL",Male,US Air Force Academy; Georgia Institute of Technology,Aeronautical Engineering,Electrical Engineering,Colonel,US Air Force,2,687,0,0.0,"STS-126 (Endeavor), STS-133 (Discovery)",,
